product_id	product_name	product_class	category hierarchy	product_description	product_features	rating_count	average_rating	review_count
45	rooster silhouette figurine	Decorative Objects	Décor & Pillows / Home Accessories / Decorative Objects		foodbeverage : no food & beverage|fantasysci-fi : no fantasy & sci-fi|primarymaterial : wood|overallwidth-sidetoside:11|agegroup : adult|theme : animal|entertainment : no entertainment|producttype : figurine|wordstext : no words & text|transportationtype : no transportation|geometricshapes : no geometric & shapes|color : black/yellow/red|style : farmhouse / country|sports : no sports|spiritualreligious : no spiritual & religious|nature : no nature|overallheight-toptobottom:12|manufacturingtype : handmade|structuresbuildings : no structures & buildings|people : no people|holidayoccasion : no holiday|animals : rooster|subject : animals|quantity:1|overallproductweight:1|overalldepth-fronttoback:2|glasscomponent : no|batteriesincluded : no| : no|commercialorresidentialcertifications : no|batteryrequired : no|oversized : no|playsmusic : no|handmade : yes|handpainted : yes|countryoforigin : china|purposefuldistressingtype : no distressing	4.0	5.0	3.0
46	schacher rooster figurine	Decorative Objects	Décor & Pillows / Home Accessories / Decorative Objects		primarymaterial : wood|agegroup : adult|people : no people|sports : no sports|overallheight-toptobottom:17.5|nature : no nature|theme : animal|geometricshapes : no geometric & shapes|overalldepth-fronttoback:3|wordstext : no words & text|style : farmhouse / country|holidayoccasion : no holiday|fantasysci-fi : no fantasy & sci-fi|manufacturingtype : handmade|spiritualreligious : no spiritual & religious|overallproductweight:1.2|entertainment : no entertainment|subject : animals|foodbeverage : no food & beverage|overallwidth-sidetoside:24|color : green/red/yellow|animals : rooster|producttype : figurine|transportationtype : no transportation|structuresbuildings : no structures & buildings|quantity:1|batteriesincluded : no|oversized : no|playsmusic : no|batteryrequired : no| : no|glasscomponent : no|commercialorresidentialcertifications : no|handpainted : yes|handmade : yes|countryoforigin : china|purposefuldistressingtype : no distressing	7.0	5.0	5.0
47	rooster figurine	Decorative Objects	Décor & Pillows / Home Accessories / Decorative Objects		nature : no nature|overallwidth-sidetoside:7.5|foodbeverage : no food & beverage|primarymaterial : ceramic|entertainment : no entertainment|manufacturingtype : handmade|color : green/yellow/red|geometricshapes : no geometric & shapes|structuresbuildings : no structures & buildings|theme : animal|spiritualreligious : no spiritual & religious|overalldepth-fronttoback:4.5|subject : animals|fantasysci-fi : no fantasy & sci-fi|overallproductweight:2.4|overallheight-toptobottom:12.5|sports : no sports|holidayoccasion : no holiday|transportationtype : no transportation|wordstext : no words & text|style : farmhouse / country|producttype : figurine|agegroup : adult|people : no people|animals : rooster|quantity:1|commercialorresidentialcertifications : no|oversized : no| : no|batteryrequired : no|californiaproposition65warningrequired : no|glasscomponent : no|batteriesincluded : no|playsmusic : no|handpainted : yes|handmade : yes|countryoforigin : china|purposefuldistressingtype : no distressing	3.0	5.0	3.0
48	urn	Vases, Urns, Jars, & Bottles	Décor & Pillows / Home Accessories / Vases, Urns, Jars & Bottles		overallproductweight:7|overalldepth-fronttoback:5.5|color : weathered green|openingwidth-sidetoside:1.25|style : traditional|shape : amphora|openingdepth-fronttoback:6|overallwidth-sidetoside:6.5|primarymaterial : resin|producttype : urns & jars|overallheight-toptobottom:16|holidayoccasion : no holiday|setquantity:1|californiaproposition65warningrequired : no| : no|handpainted : yes|countryoforigin : china|purposefuldistressingtype : no distressing	5.0	5.0	3.0
49	hiltner seashell platter	Serving Dishes & Platters	Kitchen & Tabletop / Tableware & Drinkware / Serveware / Serving Trays & Boards / Serving Trays & Platters / Serving Serving Trays & Platters	great in a china cabinet , hang on a wall or display this hiltner seashell platter in a stand on a console table and sideboard .	producttype : platter|overalllength-endtoend:14.25|productcare : hand wash only|primarymaterial : porcelain china|shape : round|color : blue/brown|theme : animal|overallwidth-sidetoside:14.25|piecesincluded:2 platters|style : coastal| : wipe with damp cloth|overallproductweight:12|holidayoccasion : no holiday|overallheight-basetotop:2|lidincluded : no|cheeseknivesandtoolsincluded : no|basestandincluded : no|rotating : no|handles : no|servingutensilincluded : no|countryoforigin : china|naturalvariationtype : no natural variation			
50	hallatrow round hand woven pouf	Ottomans	Furniture / Living Room Furniture / Ottomans & Poufs / Round Ottomans & Poufs		lifestage : adult|type : pouf|minimumdoorwidth-sidetoside:30|style : eclectic|waterrepellant : no resiliency|overallheight-toptobottom:20|overallproductweight:20|overalldepth-fronttoback:36|framematerial : rattan/wicker|legcolor : walnut|pattern : solid color|overallwidth-sidetoside:36|shape : round|countryoforigin : indonesia|weightcapacity:225|productcare : wipe clean with dry cloth.|legheight-toptobottom:1.75|generalcertificateofconformitygcc : no|fireresistant : no|californiaproposition65warningrequired : no|convertible : no|compositewoodproductcwp : no|adultassemblyrequired : no|commercialorresidentialcertifications : no|traytop : no|casters : no|caltb116compliant : no|productwarranty : no|nailheadtrim : no|anti-microbial : no|removablelegs : no|soffacompliant : no|commercialwarranty : no|caltb117-2013compliant : no|containsflameretardantmaterials : no| : no|uniformpackagingandlabelingregulationsuplrcompliant : no|tuftedcushions : no|storagespaceincluded : no|purposefuldistressingtype : no distressing|supplierintendedandapproveduse : residential use	2.0	4.5	1.0
51	roxane chaise lounge	Indoor Chaise Lounges	Furniture / Living Room Furniture / Chairs & Seating / Chaise Lounge Chairs / Linen Chaise Lounge Chairs		removablecushionlocation : back|overallwidth-sidetoside:30|overalllength-headtotoe:60|weightcapacity:300|seatdepth-fronttoback:50|woodspecies : mahogany|overallheight-toptobottom:39|seatwidth-sidetoside:30|seatfillmaterial : foam|dsprimaryproductstyle : traditional|dssecondaryproductstyle : ornate traditional|style : farmhouse / country|productcare : wipe wood with damp cloth . spot clean fabric as needed.|legmaterial : wood|backfillmaterial : foam|waterrepellant : no resiliency|countryoforigin : indonesia|legcolor : brown|numberofarms : two arms|upholsterymaterial:100 % linen|minimumdoorwidth-sidetoside:32|legheight-toptobottom:10|pattern : solid color|seatheight-floortoseat:17.5|overallproductweight:44|armtype : square arms|framematerialdetails : mahogany|framematerial : solid wood|seatingcapacity:1|fireresistant : no|soffacompliant : no|nailheadtrim : no|slipcovered : no| : no|adultassemblyrequired : no|reclining : no|compositewoodproductcwp : no|containsflameretardantmaterials : no|tuftedcushions : no|tosspillowsincluded : no|armsincluded : yes|removablecushions : yes| : yes|weightcapacitygreaterthan250lbs : yes|purposefuldistressingtype : no distressing	1.0	4.0	0.0
52	birdsall 2 drawer french style solid wood desk	Desks	Furniture / Office Furniture / Desks / Writing Desks		overallheight-toptobottom:30.5|supplierintendedandapproveduse : non residential use|drawerinteriorwidth-sidetoside:13.5|levelofassembly : none|kneespacedepth-fronttoback:29|drawerinteriorheight-toptobottom:4.5|desktopdepth-fronttoback:32|topwoodspecies : mango|style : traditional|topcolor : brown|overallwidth-sidetoside:63|kneespacewidth-sidetoside:19|weightcapacity:100|naturalvariationtype : natural wood grain color variation| : medium wood|drawerweightcapacity:10|woodmetallegs : wood legs|basewoodspecies : mango|woodtop : wood top|desktopheight:31|topmaterial : solid wood|desktopwidth-sidetoside:63|basecolor : brown|shape : rectangular|purposefuldistressingtype : wood scoring & rub through|dssecondaryproductstyle : ornate traditional|drawerglidematerial : no glides|overallproductweight:120|countryoforigin : india|mainwoodjoinerymethod : basic butt|dswoodtone : medium wood|overalldepth-fronttoback:32|desktype : writing desk|clearancefromfloortoundersideofdesk:25.5|dsprimaryproductstyle : traditional|drawerglidemechanism : wood slide|basematerial : solid wood|drawerinteriordepth-fronttoback:1|numberofdrawers:2|exteriorshelving : no|hutchincluded : no|heightadjustable : no|cecertified : no|standingdeskconverter : no|seat : no|lockingdrawer : no|adultassemblyrequired : no|cpustorage : no|plug-in : no|keyboardtray : no|compositewoodproductcwp : no|built-inusbport : no|caltb133compliant : no|hutch : no|bookcaseincluded : no|twopersonaccommodated : no| : no|built-inlighting : no|deskreturn : no|filedrawer : no|tippingprevention : no|ista1acertified : no|cabinets : no|cabinetsincluded : no|drawerpedestalincluded : no|shelving : no|upholstered : no|generalcertificateofconformitygcc : no|softclosedrawer : no|cablemanagement : no|productwarranty : no|mirrored : no|castersincluded : no|officechairincluded : no|foldable : no|ista3aor6acertified : no|reversibleorientation : no|built-inoutlets : no|drawer : yes|drawersincluded : yes|finishedback : yes|safetystop : yes|kiln-driedwood : yes|cpsc-16cfr1303compliant : yes| : yes|supplierintendedandapproveduse : residential use	1.0	4.0	1.0
53	jungle fun elephant lion and monkey baby nursery 3 piece crib bedding set	Crib Bedding Sets	Baby & Kids / Nursery Bedding / Crib Bedding Sets	decorate your little ones sleep space with this charming crib bedding set which includes one quilt , one fitted crib sheet , and one dust ruffle . the quilt features a friendly elephant , appliqued lion , an adorable monkey with striped arms and legs and a colorful tree . a gray and white diamond print borders the quilt and is the background for the parade of animals on the dust ruffle . the fitted crib sheet is a tossed print of these adorable safari animals . cotton-poly blend . imported .	piecesincluded:1 quilt , 1 sheet and 1 dust ruffle|overallproductweight:2.6|totalnumberofpiecesincluded:3|dryingmethod : tumble dry|material : cotton blend|overallwidth-sidetoside:28|animal : safari / jungle|washingmethod : machine wash|gender : gender neutral|cribsizeshape : standard crib|theme : animal|color : gray/pink|fillmaterial : polyester/polyfill|sheetcolor : pink/white|typeofsheetsincluded : fitted sheet|numberofblanketsquiltsincluded:1|numberofsheetsincluded:1|numberofdustrufflescribskirtsincluded:1|reversible : no|toybagincluded : no|sor2018-83-consumerproductscontainingleadregulations : no|firerated : no|toybag : no|sor2016-194-textileflammabilityregulations : no|additionalitem : no|bib : no|bumper : no|windowtreatment : no|bumperincluded : no|greenguardcertified : no|pillow : no|additionalitemsincluded : no|taacompliant : no|changingpadcoverincluded : no|changingpadcover : no|pillowcaseincluded : no|railguardcoverincluded : no|mobileincluded : no|organic : no|pillowsincluded : no|diaperstacker : no|pillowcase : no|ullisted : no|walldcorincluded : no|bibincluded : no|greenguardgoldcertified : no|mobile : no| : no|knitted : no|embroidered : no|licensedproduct : no|diaperstackerincluded : no|commercialwarranty : no|windowtreatmentsincluded : no|railguardcover : no|walldcor : no|astmf1917-12compliant : yes|sheetsincluded : yes|uniformpackagingandlabelingregulationsuplrcompliant : yes|dustrufflecribskirt : yes|sheet : yes|cpsc-16cfr1303compliant : yes|children ’ sproductcertificatecpc : yes| : yes|blanketquiltincluded : yes|blanketquilt : yes|dustrufflecribskirtincluded : yes|cpsiacompliant : yes|cpsc-16cfr1500.49compliant : yes|countryoforigin : china|supplierintendedandapproveduse : residential use	46.0	5.0	40.0
54	acorn woodland fox raccoon squirrel and bear baby nursery 3 piece crib bedding set	Crib Bedding Sets	Baby & Kids / Nursery Bedding / Crib Bedding Sets	this crib bedding set includes one quilt , one fitted crib sheet , and one crib skirt . an appliqued plush bear is enjoying the great outdoors while a cute little fox and sweet little bird stand on his back and head . his favorite forest friends include a clever auburn fox , a gray squirrel , and a curious raccoon . a pretty gray and white pattern decorates the border and back of the quilt . a charming tossed print with mr. bear , clever fox , a sweet squirrel with acorns in hand and raccoon decorate the crib sheet . the fitted crib sheet is fully elasticized all around ensuring a secure fit . completing the 3-piece crib bedding set is a coordinating crib skirt with forest trees over a gray border and chevron stripes . made of a soft cotton-poly blend .	gender : gender neutral|fillmaterial : polyester/polyfill|washingmethod : machine wash|sheetcolor : gray/brown|totalnumberofpiecesincluded:3|overallwidth-sidetoside:28|theme : animal|animal : woodland|overallproductweight:2.6|dryingmethod : tumble dry|material : cotton blend|color : gray/brown|piecesincluded:1 quilt,1 sheet and 1 dust ruffle|typeofsheetsincluded : fitted sheet|cribsizeshape : standard crib|numberofblanketsquiltsincluded:1|numberofdustrufflescribskirtsincluded:1|numberofsheetsincluded:1|railguardcoverincluded : no|bumper : no|taacompliant : no|changingpadcover : no|sor2018-83-consumerproductscontainingleadregulations : no|commercialwarranty : no|greenguardgoldcertified : no|ullisted : no|toybag : no|walldcorincluded : no|additionalitem : no|toybagincluded : no|pillow : no|pillowcase : no|pillowcaseincluded : no|licensedproduct : no|diaperstackerincluded : no|bibincluded : no|bib : no|mobileincluded : no|knitted : no|organic : no|reversible : no| : no|changingpadcoverincluded : no|windowtreatment : no|greenguardcertified : no|firerated : no|bumperincluded : no|pillowsincluded : no|walldcor : no|windowtreatmentsincluded : no|railguardcover : no|embroidered : no|diaperstacker : no|mobile : no|additionalitemsincluded : no| : yes|blanketquiltincluded : yes|dustrufflecribskirt : yes|cpsc-16cfr1303compliant : yes|sor2016-194-textileflammabilityregulations : yes|dustrufflecribskirtincluded : yes|blanketquilt : yes|sheet : yes|uniformpackagingandlabelingregulationsuplrcompliant : yes|sheetsincluded : yes|astmf1917-12compliant : yes|cpsiacompliant : yes|children ’ sproductcertificatecpc : yes|cpsc-16cfr1500.49compliant : yes|countryoforigin : china|supplierintendedandapproveduse : residential use	44.0	5.0	35.0
55	eloise elephant nursery baby 3 piece crib bedding set	Licensed Products|Crib Bedding Sets	Baby & Kids / Nursery Bedding / Crib Bedding Sets	this crib bedding set includes one quilt , one fitted crib sheet , and one crib skirt . eloise is a contemporarily styled elephant with large pink ears and likes her favorite little bird playing along with her back . gold metallic sparkles decorate the inset flange along with three trendy hearts . a white fitted crib sheet has multi-colored elephants and is fully elasticized all around ensuring a secure fit . the coordinating crib skirt is pink with a white band at the bottom with gold stars and has a 10 ” drop . made of a soft cotton-poly blend .	typeofsheetsincluded : fitted sheet|overallproductweight:2.6|piecesincluded:1 quilt , 1 sheet and 1 dust ruffle|theme : animal|animal : safari / jungle|washingmethod : machine wash|gender : girl / woman+|color : pink/violet/gray|fillmaterial : polyester/polyfill|licensedproductcategory : entertainment/characters|dryingmethod : tumble dry|totalnumberofpiecesincluded:3|overallwidth-sidetoside:28|sheetcolor : pink/violet/gray|material : cotton blend|cribsizeshape : standard crib|numberofblanketsquiltsincluded:1|numberofdustrufflescribskirtsincluded:1|numberofsheetsincluded:1|taacompliant : no|toybag : no|bib : no|commercialwarranty : no|sor2018-83-consumerproductscontainingleadregulations : no|bumper : no|ullisted : no|bumperincluded : no|pillowcaseincluded : no|reversible : no|pillowsincluded : no|walldcor : no|knitted : no|mobileincluded : no|windowtreatment : no|toybagincluded : no| : no|organic : no|railguardcoverincluded : no|bibincluded : no|additionalitemsincluded : no|pillow : no|changingpadcoverincluded : no|mobile : no|walldcorincluded : no|diaperstackerincluded : no|firerated : no|pillowcase : no|railguardcover : no|windowtreatmentsincluded : no|embroidered : no|changingpadcover : no|additionalitem : no|diaperstacker : no|uniformpackagingandlabelingregulationsuplrcompliant : yes|dustrufflecribskirtincluded : yes|sheetsincluded : yes| : yes|sor2016-194-textileflammabilityregulations : yes|blanketquilt : yes|sheet : yes|licensedproduct : yes|cpsc-16cfr1303compliant : yes|astmf1917-12compliant : yes|blanketquiltincluded : yes|children ’ sproductcertificatecpc : yes|cpsc-16cfr1500.49compliant : yes|cpsiacompliant : yes|dustrufflecribskirt : yes|countryoforigin : china|supplierintendedandapproveduse : residential use	53.0	5.0	38.0
56	ocean baby 3 piece crib bedding set	Crib Bedding Sets	Baby & Kids / Nursery Bedding / Crib Bedding Sets	the 3-piece crib bedding set includes one quilt , one fitted crib sheet , and one crib skirt . there are metallic embroidered crowns on the octopus and jellyfish . and , the jellyfish has white ricrac trim . the coordinating fitted crib sheet features bubbles , the pink octopus , colorful jellyfish , aqua sea horses , and various other sea creatures . the crib skirt is two-toned with starfish and bubbles separating the two colors . made in a soft microfiber and digitally printed in a high resolution which enhances the color and is ecofriendly .	dryingmethod : tumble dry|totalnumberofpiecesincluded:3|washingmethod : machine wash|gender : girl / woman+|overallwidth-sidetoside:28|sheetcolor : pink| : |cribsizeshape : standard crib|fillmaterial : polyester/polyfill|typeofsheetsincluded : fitted sheet|material : polyester|theme : nautical|piecesincluded:1 quilt , 1 fitted crib sheet , and 1 crib skirt|overallproductweight:1.75|materialdetails : microfiber|pattern : no pattern and not solid color|animal : aquatic / marine|color : pink/gray/yellow|numberofblanketsquiltsincluded:1|numberofdustrufflescribskirtsincluded:1|numberofsheetsincluded:1|bib : no|windowtreatmentsincluded : no|pillowcase : no|sor2016-194-textileflammabilityregulations : no|changingpadcoverincluded : no|bibincluded : no|toybagincluded : no|taacompliant : no|windowtreatment : no|changingpadcover : no|knitted : no|toybag : no|csacertified : no|pillowcaseincluded : no|pillowsincluded : no|mobile : no|sor2018-83-consumerproductscontainingleadregulations : no| : no|mobileincluded : no|bumperincluded : no|walldcorincluded : no|reversible : no|pillow : no|additionalitemsincluded : no|firerated : no|diaperstackerincluded : no|astmf1917-12compliant : no|licensedproduct : no|railguardcover : no|canadaproductrestriction : no|diaperstacker : no|bumper : no|walldcor : no|productwarranty : no|commercialwarranty : no|railguardcoverincluded : no|organic : no|additionalitem : no|cpsc-16cfr1500.48compliant : yes|sheetsincluded : yes| : yes|dustrufflecribskirt : yes|ullisted : yes|dustrufflecribskirtincluded : yes|cpsiacompliant : yes|cpsc-16cfr1303compliant : yes|children ’ sproductcertificatecpc : yes|uniformpackagingandlabelingregulationsuplrcompliant : yes|sheet : yes|blanketquilt : yes|embroidered : yes|sampleavailable : yes|blanketquiltincluded : yes|cullisted : yes|countryoforigin : china|supplierintendedandapproveduse : residential use	40.0	5.0	36.0
57	3 piece crib bedding set	Crib Bedding Sets	Baby & Kids / Nursery Bedding / Crib Bedding Sets	the 3-piece bedding set includes one quilt , one fitted crib sheet , and one crib skirt . the quilt features a giant tree filled with super cute woodland characters . his feet are black velour and his eyes and nose are embroidered . the colorful fitted crib sheet depicts our friendly fox , cute raccoon , baby porcupine , gray bunny and wise owl along with multiple trees . a colorful crib skirt completes this bedding set .	fillmaterial : polyester/polyfill|washingmethod : machine wash|cribsizeshape : standard crib|material : polyester|theme : animal|totalnumberofpiecesincluded:3|dryingmethod : tumble dry|animal : woodland|materialdetails : microfiber|pattern : no pattern and not solid color|gender : boy / man+|piecesincluded:1 quilt , 1 fitted crib sheet , and 1 crib skirt|overallwidth-sidetoside:28|overallproductweight:1.75|sheetcolor : gray|typeofsheetsincluded : fitted sheet|color : gray| : |numberofdustrufflescribskirtsincluded:1|numberofsheetsincluded:1|numberofblanketsquiltsincluded:1|additionalitem : no|organic : no|pillowsincluded : no|bumper : no|sor2018-83-consumerproductscontainingleadregulations : no|toybag : no|sor2016-194-textileflammabilityregulations : no|walldcorincluded : no|canadaproductrestriction : no|windowtreatment : no|productwarranty : no|bib : no|mobileincluded : no|additionalitemsincluded : no|taacompliant : no|diaperstacker : no|licensedproduct : no|firerated : no|commercialwarranty : no|diaperstackerincluded : no|changingpadcover : no|windowtreatmentsincluded : no|railguardcover : no|reversible : no|csacertified : no|pillowcaseincluded : no| : no|changingpadcoverincluded : no|walldcor : no|bibincluded : no|pillowcase : no|astmf1917-12compliant : no|pillow : no|mobile : no|bumperincluded : no|railguardcoverincluded : no|knitted : no|toybagincluded : no|cpsc-16cfr1303compliant : yes|ullisted : yes|cpsiacompliant : yes|cullisted : yes|sheet : yes|sampleavailable : yes|uniformpackagingandlabelingregulationsuplrcompliant : yes|blanketquilt : yes|embroidered : yes| : yes|blanketquiltincluded : yes|dustrufflecribskirtincluded : yes|dustrufflecribskirt : yes|sheetsincluded : yes|cpsc-16cfr1500.48compliant : yes|children ’ sproductcertificatecpc : yes|countryoforigin : china|supplierintendedandapproveduse : residential use	45.0	5.0	37.0
58	medium memory foam charcoal infused body pillow	Standard Bed Pillows	Bed & Bath / Bedding Essentials / Bed Pillows / Memory Foam Bed Pillows	the royal solution for comfort brings a luxurious design to the next level . this product follows the long-established english tradition of excellence , quality and luxury associated . founded by sir jacob behrens in 1834 , it continues today as a family-owned company ensuring your pillow will greet you every night as you sleep , not only with comfort and support but with a beautiful appearance for a luxurious royal night ’ s sleep . machine washable and dryable on a low setting for easy care .	overallproductweight:3|sleepposition : back|fillmaterial : memory foam|fillmaterialdetails : memory foam|color : white|sleepposition : side|comfortlevel : medium|overallwidth-sidetoside:8|covermaterial : rayon from bamboo|covermaterialdetails : viscose bamboo rayon blend|overallheight-toptobottom:8|overallthickness-fronttoback:50|producttype : body pillow|specialtyfoaminfusiontype : charcoal infused|sleepposition : stomach|dormsku : no|canadaproductrestriction : no|commercialwarranty : no| : no|uniformpackagingandlabelingregulationsuplrcompliant : no|coolingtechnology : no|organic : no|odorresistant : yes|specialtyfoaminfusion : yes|removablecover : yes|machinewashable : yes| : yes|countryoforigin-donotmakeactive : china|supplierintendedandapproveduse : residential use	21.0	4.5	19.0
59	configrauble living room set		Furniture / Living Room Furniture / Living Room Sets	configurable living room set constructions have been rigorously tested to simulate the home and transportation environments for improved durability . frame components are secured with combinations of glue , blocks , interlocking panels and staples . seats and back spring rails are cut from mixed hardwood and engineered lumber . stripes and patterns are match cut .	chairheight-toptobottom:79|loveseatdepth-fronttoback:40|backtype : cushion back|sofaweight:143|piecesincludednew:4 seater sofa|chairwidth-sidetoside:52|chairseatwidth-sidetoside:19|chairweight:79|minimumdoorwidth-sidetoside:32|sofaseatwidth-sidetoside:19|armtype : round arms|sofawidth-sidetoside:97|levelofassembly : partial assembly|waterrepellant : no resiliency|sofadepth-fronttoback:40|countryoforigin : united states|seatingcapacity:6|piecesincludednew : ottoman|loveseatheight-toptobottom:112|ottomanheight-toptobottom:28|pattern : solid color|backfillmaterial : foam|upholsterycolor : walnut|ottomanwidth-sidetoside:40|sofaheight-toptobottom:22|seatfillmaterial : foam|piecesincludednew : loveseat|upholsterymaterial:100 % polyester|numberofpiecesincluded:4|estimatedtimetosetup:30|loveseatseatheight-floortoseat:22|chairseatheightfloortoseat:22|style : farmhouse / country|piecesincludednew : armchair|chairdepth-fronttoback:40|chairarmheight-floortoarm:28|removablecushionlocation : seat|ottomandepth-fronttoback:24|design : standard|warrantylength:1 year|ottomanweight:28|sofaseatheight-floortoseat:22|loveseatweight:112|loveseatseatwidth-sidetoside:19|armtype : rolled arms|loveseatwidth-sidetoside:71|seatconstruction : sinuous springs|table : no|certifications : no|californiaproposition65warningrequired : no|storageincluded : no|chaise : no|twoseater : no|threeseater : no|generalcertificateofconformitygcc : no|sleeperarea : no|fireresistant : no|containsflameretardantmaterials : no|tuftedcushions : no|sectional : no|caltb116compliant : no|nailheadtrim : no|compositewoodproductcwp : no|caltb117-2013compliant : no|fourseater : yes|chair : yes|loveseat : yes|tosspillowsincluded : yes|ottoman : yes|removablecushions : yes|productwarranty : yes|sofa : yes|commercialwarranty : yes|adultassemblyrequired : yes|framematerial : metal|purposefuldistressingtype : no distressing|supplierintendedandapproveduse : residential use	14.0	5.0	9.0
60	wimberley 56 '' pillow top arm reclining loveseat	Sofas	Furniture / Living Room Furniture / Sofas	frame constructions have been rigorously tested to simulate the home and transportation environments for improved durability . cushions are constructed of low fiber wrapped over high quality foam . features metal drop-in unitized seat box for strength and durability . all metal construction to the floor for strength and durability .	minimumdoorwidth-sidetoside:41|overalldepth-fronttoback:40|upholsterymaterialdetails:95 % polyester ; 5 % polyurethane|waterrepellant : this type of fabric is impenetrable to water to an extent.|overallheight-toptobottom:40|backfillmaterial : synthetic fiber|legcolor : dark brown|seatfillmaterial : foam|seatdepth-fronttoback:21|levelofassembly : partial assembly|framematerialdetails : corner-blocked frame with metal reinforced seat|warrantydetails:1 year limited manufacturer warranty|producttype : loveseat|legmaterialdetails : aluminum|seatdepthsd : standard ( 21 '' - 28 '' ) |countryoforigin : viet nam|dsprimaryproductstyle : modern|weightcapacityperseat:350|fullyreclineddepth-fronttoback:68|backtype : tight back|seatstyle : tight seat|pattern : solid color|warrantylength:1 year|powerrecliningdetails : |upholsterycolor : slate|armtype : pillow top arm|framematerial : manufactured wood|seatheight-floortoseat:21|recliningtypedetails : manual - handle/lever|dssecondaryproductstyle : transitional modern|requiredbackclearancetorecline:3|upholsterymaterial : polyester blend|overallproductweight:156|durability : no extra resistance|recliningtype : manual|overallwidth-sidetoside:56|seatfillmaterialdetails:100 % foam|design : reclining|seatingcapacity:2|seatingcapacity-tomigrate:2|treatment : no|removablecushions : no| : no|sleepersofa : no|usbport : no|tosspillowsincluded : no|doublerubtested : no|skirted : no|cushionticking : no|nailheadtrim : no|slipcovered : no|madetoorder : no|commercialwarranty : no|containsflameretardantmaterials : no|storagespaceincluded : no|mattressincluded : no|tuftedcushions : no|weightcapacityperseatgreaterthan250lbs : yes|productwarranty : yes|compositewoodproductcwp : yes|tscatitlevicompliantformaldehydeemissions : yes|storageincluded : yes|carbphaseiicompliantformaldehydeemissions : yes|fullorlimitedwarranty : limited|purposefuldistressingtype : no distressing|supplierintendedandapproveduse : residential use	12.0	5.0	11.0
61	wimberley 76 '' pillow top arm reclining sofa	Sofas	Furniture / Living Room Furniture / Sofas	frame constructions have been rigorously tested to simulate the home and transportation environments for improved durability . cushions are constructed of low fiber wrapped over high-quality foam . features metal drop-in unitized seat box for strength and durability . all metal construction to the floor for strength and durability .	overalldepth-fronttoback:40|dssecondaryproductstyle : transitional modern|overallwidth-sidetoside:76|seatstyle : tight seat|fullyreclineddepth-fronttoback:68|producttype : sofa|recliningtypedetails : manual - handle/lever|upholsterycolor : coffee|overallproductweight:196|waterrepellant : this type of fabric is impenetrable to water to an extent.|design : reclining|upholsterymaterialdetails:95 % polyester and 5 % polyurethane|seatwidth-sidetoside:57|countryoforigin : viet nam|minimumdoorwidth-sidetoside:32|backfillmaterial : synthetic fiber|dsprimaryproductstyle : modern|recliningtype : manual|armtype : pillow top arm|pattern : solid color|requiredbackclearancetorecline:3|warrantylength:1 year|seatdepthsd : standard ( 21 '' - 28 '' ) |weightcapacityperseat:350|legcolor : black|backheight-seattotopofback:21|overallheight-toptobottom:40|upholsterycolor : slate|seatdepth-fronttoback:21|seatheight-floortoseat:21|seatfillmaterial : synthetic fiber|upholsterymaterial : polyester blend|seatingcapacity-tomigrate:2|seatingcapacity:2|doublerubtested : no|mattressincluded : no|containsflameretardantmaterials : no|tosspillowsincluded : no|skirted : no|tuftedcushions : no| : no|slipcovered : no|commercialwarranty : no|removablecushions : no|sleepersofa : no|storagespaceincluded : no|storageincluded : no|nailheadtrim : no|weightcapacityperseatgreaterthan250lbs : yes|compositewoodproductcwp : yes|carbphaseiicompliantformaldehydeemissions : yes|tscatitlevicompliantformaldehydeemissions : yes|productwarranty : yes|legmaterial : metal|framematerial : metal|purposefuldistressingtype : no distressing|supplierintendedandapproveduse : residential use	103.0	4.5	83.0
62	montecarlo chaise lounge	Indoor Chaise Lounges	Furniture / Living Room Furniture / Chairs & Seating / Chaise Lounge Chairs	this gorgeous hand-carved montecarlo chaise lounge is a welcome addition to any home . combined with designer fabrics and outstanding , chic finishes this product is sure to be a great fit for any room .	armtype : rolled arms|upholsterycolor : beige|removablecushionlocation : seat|pattern : solid color|numberofarms : one arm|upholsterymaterial : chenille|seatconstruction : web suspension|legmaterial : wood|seatfillmaterial : polyester|weightcapacity:450|style : ornate traditional|countryoforigin : united states|seatfillmaterial : foam|framematerial : solid + manufactured wood|countryoforigin-additionaldetails : made in usa|seatingcapacity:3|waterrepellant : no resiliency|seatwidth-sidetoside:26|overalllength-headtotoe:82|minimumdoorwidth-sidetoside:35|overallwidth-sidetoside:82|overallproductweight:152|overallheight-toptobottom:42|backfillmaterial : foam|pattern : floral|adultassemblyrequired : no|storageincluded : no|compositewoodproductcwp : no|reclining : no|caltb116compliant : no|caltb133compliant : no|tuftedcushions : no|slipcovered : no|generalcertificateofconformitygcc : no|containsflameretardantmaterials : no| : no|nailheadtrim : no|fireresistant : no|customproduct : no|caltb117-2013compliant : no|tosspillowsincluded : no|weightcapacitygreaterthan250lbs : yes|armsincluded : yes|removablecushions : yes|purposefuldistressingtype : no distressing|supplierintendedandapproveduse : residential use			
